Date,MAW
2016-11-10 23:15:15,11620
2016-11-10 23:15:30,11686
2016-11-10 23:15:45,11633
2016-11-10 23:16:00,11929
2016-11-10 23:16:15,11433
2016-11-10 23:16:30,10739
2016-11-10 23:16:45,12239
2016-11-10 23:17:00,12390
2016-11-10 23:17:15,12446
2016-11-10 23:17:30,12613
2016-11-10 23:17:45,12621
2016-11-10 23:18:00,12559
2016-11-10 23:18:15,12580
2016-11-10 23:18:30,12600
2016-11-10 23:18:45,12601
2016-11-10 23:19:00,12554
2016-11-10 23:19:15,12455
2016-11-10 23:19:30,12437
2016-11-10 23:19:45,12348
2016-11-10 23:20:00,12139
2016-11-10 23:20:15,11774
2016-11-10 23:20:30,11398
2016-11-10 23:20:45,11356
2016-11-10 23:21:00,10742
2016-11-10 23:21:15,10692
2016-11-10 23:21:30,10974
2016-11-10 23:21:45,10947
2016-11-10 23:22:00,10919
2016-11-10 23:22:15,10850
2016-11-10 23:22:30,10721
2016-11-10 23:22:45,10310
2016-11-10 23:23:00,9909
2016-11-10 23:23:15,9698
2016-11-10 23:23:30,9530
2016-11-10 23:23:45,9301
2016-11-11 23:00:00,9026
2016-11-11 23:00:15,8875
2016-11-11 23:00:30,8756
2016-11-11 23:00:45,8656
2016-11-11 23:01:00,8568
2016-11-11 23:01:15,8506
2016-11-11 23:01:30,8468
2016-11-11 23:01:45,8448
2016-11-11 23:02:00,8427
2016-11-11 23:02:15,8406
2016-11-11 23:02:30,8420
2016-11-11 23:02:45,8448
2016-11-11 23:03:00,8493
2016-11-11 23:03:15,8519
2016-11-11 23:03:30,8506
2016-11-11 23:03:45,8483
2016-11-11 23:04:00,8570
2016-11-11 23:04:15,8580
2016-11-11 23:04:30,8610
2016-11-11 23:04:45,8628
2016-11-11 23:05:00,8717
2016-11-11 23:05:15,8634
2016-11-11 23:05:30,8769
2016-11-11 23:05:45,8813
2016-11-11 23:06:00,8883
2016-11-11 23:06:15,9103
2016-11-11 23:06:30,9354
2016-11-11 23:06:45,9619
2016-11-11 23:07:00,9883
2016-11-11 23:07:15,10078
2016-11-11 23:07:30,10072
2016-11-11 23:07:45,10172
2016-11-11 23:08:00,10260
2016-11-11 23:08:15,10349
2016-11-11 23:08:30,10431
2016-11-11 23:08:45,10507
2016-11-11 23:09:00,10607
2016-11-11 23:09:15,10776
2016-11-11 23:09:30,10823
2016-11-11 23:09:45,10814
